iter	RMSE
349	22.20101936
350	22.18592828
351	22.1756649
352	22.16158052
353	22.14366238
354	22.12867454
355	22.11907196
356	22.11090648
357	22.10004863
358	22.09408739
359	22.08336207
360	22.07419741
361	22.05866617
362	22.0514507
363	22.03656136
364	22.01748504
365	22.00856131
366	21.9910103
367	21.97489971
368	21.96624466
369	21.95123246
370	21.93680162
371	21.92850665
372	21.92052858
373	21.90812454
374	21.88929211
375	21.87742823
376	21.86124258
377	21.85376888
378	21.84066205
379	21.82466777
380	21.81219077
381	21.79558384
382	21.79291004
383	21.77601119
384	21.75885867
385	21.74644704
386	21.73459349
387	21.72327549
388	21.7150207
389	21.69769233
390	21.68252624
391	21.66649916
392	21.65808885
393	21.64696375
394	21.62622947
395	21.6116845
396	21.60622674
397	21.59396272
398	21.58039795
399	21.56486828
